Entity,Mortality Status,All malignant cancers combined,Brain and nervous system cancers,Leukemia,Lymphomas and multiple myeloma
South Korea,Low Mortality,3.2317675763157894,0.8100742342105264,1.429524477894737,0.2178069845
Spain,Medium Mortality,3.549988797727273,0.8407829011363636,1.371299503409091,0.27557792411363635
Sri Lanka,Low Mortality,3.3243385384615385,0.4250845853846154,1.5577800961538462,0.2198022648076923
Suriname,High Mortality,3.9202619,2.109994,5.7369056,2.109994
Sweden,Low Mortality,2.4167695083333336,1.0306991395833334,0.8810688554166667,0.2778005791666667
Switzerland,Low Mortality,1.7844688666666666,1.1339785266666667,0.7257180316666667,0.328182865
Syria,Low Mortality,1.79611275,0.5113499380000001,0.814348605,0.22744085100000003
Tajikistan,Low Mortality,2.3214740666666667,0.2833691116666666,0.6970607883333333,0.3269627666666667
Thailand,Low Mortality,2.899212,0.5862526344827587,1.1354913862068965,0.07509689206896551
Trinidad and Tobago,Medium Mortality,3.37549718,1.12942498,3.00502528,1.5123890599999998
Turkey,Low Mortality,3.0149078333333335,0.9319966886666666,1.1464104586666666,0.23769914533333333
Turkmenistan,Medium Mortality,4.4317286000000005,0.8505261328571428,1.7496845457142858,0.38403747642857144
Ukraine,Medium Mortality,3.377498376923077,1.383168846153846,1.5126293153846153,0.21187115076923077
United Arab Emirates,Low Mortality,1.9847395,0.39536944,0.7386561,0.3302679
United Kingdom,Low Mortality,2.9682474813953488,0.9034329313953489,0.9859373109302325,0.15600043179069767
United States,Low Mortality,2.6589092590909087,0.7686856415909091,0.8895421190909091,0.11225283827272727
Uruguay,Low Mortality,3.187257978571428,0.8862401057142858,1.3299744685714285,0.5918855607142858
Uzbekistan,Medium Mortality,3.9975854294117643,0.8556448888235293,1.3801306435294116,0.44034721000000004
Venezuela,Medium Mortality,4.299067561904762,0.5942469333333333,2.0824791428571428,0.39116631190476187
