Entity,Code,Year,All malignant cancers combined,Brain and nervous system cancers,Leukemia,Lymphomas and multiple myeloma,Cluster,PCA1,PCA2
Armenia,ARM,2008,1.2866149,0.0,1.0682876,0.6739589,0,-0.9796482117002658,0.2812496483225824
Armenia,ARM,2009,4.1105742,2.740143,1.0753498,0.0,0,0.5869205218799849,0.07733238036048015
Armenia,ARM,2010,5.4411407,0.90142334,2.5359952,0.57117397,0,0.9102384512671311,-0.5453076817378417
Armenia,ARM,2011,2.8371208,1.4708261,1.9441919,0.0,0,0.15533635710910645,-0.08498572887430486
Armenia,ARM,2012,5.139098,1.9869317,1.0147803,0.54245526,0,0.6355914180990081,-0.048033003211393074
Armenia,ARM,2013,1.7428485,1.3929827,0.74807745,0.0,0,-0.5874085839128776,0.2795794870533138
Armenia,ARM,2014,4.6353436,1.4759058,0.0,0.0,0,-0.09020265135272683,-0.10688113320408128
Armenia,ARM,2015,2.2942095,2.43804,1.6253599,1.1973681,0,0.34647326690109,0.7030008777959394
Armenia,ARM,2016,2.810947,1.2142062,0.80301934,0.48494253,0,-0.30175950928170875,0.22411896356925678
Armenia,ARM,2017,3.2728403,1.6152349,0.5325537,0.0,0,-0.19949368757395647,0.08350318571047505
Armenia,ARM,2018,2.6493857,0.95066524,1.2203828,0.0,0,-0.32943162656895125,-0.045106492029352005
Armenia,ARM,2019,3.590738,0.81345785,0.4756763,0.4756763,0,-0.3549929933400713,0.050241971903116835
Armenia,ARM,2020,1.5116929,2.4391792,0.4675672,0.60146034,0,-0.3385421310596319,0.7998379937795332
Armenia,ARM,2021,0.98577523,2.1724648,0.79357207,0.46670306,0,-0.4573704913233701,0.739758840594936
Armenia,ARM,2022,2.396059,0.56852424,0.85278636,0.0,0,-0.6553474249916342,-0.020402142212904147
Armenia,ARM,2023,2.555401,1.1959755,0.5180944,0.0,0,-0.5281169919498754,0.12950484136840845
Australia,AUS,1979,3.7833052,0.9353776,2.3181098,0.31300303,0,0.38951642331756914,-0.3038986339131294
Australia,AUS,1980,4.1119723,1.1920421,2.6307137,0.5343637,0,0.6962667411904934,-0.2765821479512552
Australia,AUS,1981,4.48124,1.6187274,2.3243265,0.41310933,0,0.8083166303522528,-0.25443011453106973
Australia,AUS,1982,3.9864166,0.9624236,2.3432922,0.37660056,0,0.4664757779480554,-0.31502422306997635
Australia,AUS,1983,3.722356,0.92487496,1.9338294,0.58855677,0,0.2591887346888564,-0.1333040138114898
Australia,AUS,1984,4.5521293,1.3091216,1.8158784,0.38006756,0,0.5348870321473991,-0.2637787454866841
Australia,AUS,1985,3.6377134,1.2653422,1.8136573,0.1687123,0,0.26268719390043105,-0.18711324630679158
Australia,AUS,1986,3.5836828,1.1725293,1.3819095,0.2512563,0,0.06926252725935798,-0.09898086606621499
Australia,AUS,1987,3.460752,1.1611993,1.3685564,0.29029983,0,0.03317508019647409,-0.06264291781518788
Australia,AUS,1988,3.6054804,1.0645267,1.1873567,0.22758307,0,-0.034411614481360514,-0.10359399545518579
Australia,AUS,1989,3.8703434,1.0866503,1.569606,0.1789549,0,0.17516391375708304,-0.22356126126134934
Australia,AUS,1990,3.1591737,1.071216,1.3886133,0.19837333,0,-0.07643335765615694,-0.06411709148180768
Australia,AUS,1991,3.1411083,0.86481386,1.2972208,0.157208,0,-0.18723935100744699,-0.10389052116981129
Australia,AUS,1992,3.2786884,0.8993157,1.6813294,0.19550343,0,0.00357002114396877,-0.16645478010638537
Australia,AUS,1993,3.0888643,1.0528779,1.4818281,0.23397286,0,-0.06285396221495962,-0.05632074080527891
Australia,AUS,1994,4.3952594,1.0123034,1.4016508,0.25941458,0,0.2324092239054904,-0.27685550077217436
Australia,AUS,1995,2.8560402,0.8110613,1.5062567,0.17152658,0,-0.20054773761945188,-0.09052675479689262
Australia,AUS,1996,2.9811954,1.0648266,1.3061851,0.1277792,0,-0.161685584581999,-0.04710817013104172
Australia,AUS,1997,2.8966308,1.3386235,1.2238845,0.1693957,0,-0.1181143643008782,0.0516074503600229
Australia,AUS,1998,3.4969687,1.4119701,1.6027769,0.16868691,0,0.19837283181741872,-0.09976260619213964
Australia,AUS,1999,2.5669482,0.837667,1.2184247,0.18833822,0,-0.3690774334786456,0.017252735547306393
Australia,AUS,2000,2.6921644,1.2198031,0.79882747,0.07408049,0,-0.37499503007998214,0.09417299682298498
Australia,AUS,2001,2.5865057,1.2179807,1.1009783,0.3699144,0,-0.2615508847569386,0.176389613115247
Australia,AUS,2002,2.853138,1.2866093,0.7189875,0.12555905,0,-0.33520481975395194,0.11030155806733924
Australia,AUS,2003,2.1022766,1.037631,0.8839079,0.14953674,0,-0.5479572917355539,0.17804811427145356
Australia,AUS,2004,2.3676145,0.9555355,0.9937569,0.16924232,0,-0.4650044829335886,0.10430740485540463
Australia,AUS,2006,1.5703372,0.87748146,0.5722705,0.22461933,0,-0.8433965046330021,0.3169414295806196
Australia,AUS,2007,1.5691466,1.2679224,0.37291837,0.0,0,-0.8102810799412316,0.34318253797653536
Australia,AUS,2008,1.5681992,0.84322566,0.4766058,0.14511387,0,-0.8985306671626427,0.2955164224501554
Australia,AUS,2009,1.8499926,0.7245268,0.39565682,0.0,0,-0.9103454126734001,0.1794197003846152
Australia,AUS,2010,2.137014,0.9945576,0.60383856,0.17759958,0,-0.6525009607999187,0.21668626184003817
Australia,AUS,2011,1.4410623,1.1348734,0.31626132,0.15653427,0,-0.8915755424812595,0.40624540176959256
Australia,AUS,2012,1.2216136,0.6912687,0.6875392,0.16887213,0,-0.9585553998487246,0.3032634306883494
Australia,AUS,2013,2.1448824,0.9420695,0.57197076,0.1656961,0,-0.6807756825013115,0.2051321096829203
Australia,AUS,2014,1.0700657,0.88812023,0.32893342,0.14631979,0,-1.0651808837841967,0.4170682064707024
Australia,AUS,2015,1.9848471,0.8631904,0.6151198,0.1078988,0,-0.7383720782861878,0.1896897426260105
Australia,AUS,2016,2.3049684,0.89146227,0.47756907,0.07087054,0,-0.7008491341245586,0.14542358241475004
Australia,AUS,2017,1.4930407,1.043434,0.38509798,0.06296975,0,-0.8933133648998867,0.33298657612783017
Australia,AUS,2018,1.9108326,0.75754446,0.41033658,0.0,0,-0.8784152812855195,0.1729339807006336
Australia,AUS,2019,1.4094956,0.88317156,0.5046694,0.25739545,0,-0.9039957575637594,0.3695365137505636
Australia,AUS,2020,1.4349691,0.8559228,0.38041013,0.13029265,0,-0.9651312761403024,0.3312570334974806
Australia,AUS,2021,1.6014053,0.831918,0.57594323,0.12798738,0,-0.85934508143322,0.26560264947427475
Australia,AUS,2022,1.4645568,0.96075755,0.54442924,0.06203409,0,-0.8700907502353293,0.2964839088425419
Australia,AUS,2023,1.5687401,1.0597523,0.3198567,0.0,0,-0.8988521100331525,0.30931485066906583
Austria,AUT,1980,4.111166,1.3047088,2.5759366,0.7116594,0,0.7320915548328724,-0.17918266158335822
Austria,AUT,1981,3.839092,1.5342466,1.8299378,0.5479452,0,0.44936064193490693,-0.0300823867011263
Austria,AUT,1982,4.65935,1.2390683,1.9981151,0.3717205,0,0.6047039487161392,-0.3283377143619122
Austria,AUT,1983,5.2565274,1.3456295,1.2334936,0.37495124,0,0.5149544732992828,-0.2948711612598292
Austria,AUT,1984,4.2022023,1.4660028,1.6915417,0.25072145,0,0.4382789976571603,-0.19834982847751487
Austria,AUT,1985,3.9963393,0.5028379,1.245268,0.0,0,-0.12335458127951512,-0.3809478730815871
Austria,AUT,1986,1.4601159,1.1319901,1.7576016,0.25108594,0,-0.35228885436775104,0.21551536495971726
Austria,AUT,1987,2.611074,1.1244532,1.1276207,0.2498785,0,-0.2891745403931435,0.1042599550353538
